,Unnamed: 0,Komentar,Polarity,casefolding,cleaned_text,normalized_text,tokenizing,stopword,stemming,text_preprocessed
633,676,ibu kota impian indonesia,Positif,ibu kota impian indonesia,ibu kota impian indonesia,ibu kota impian indonesia,"['ibu', 'kota', 'impian', 'indonesia']","['ibu', 'kota', 'impian', 'indonesia']","['ibu', 'kota', 'impi', 'indonesia']","['ibu', 'kota', 'impi', 'indonesia']"
634,677,Negara  bisa maju klo SDM nya  mumpuni.......sampe kpn pun tdk akn mju klo SDMnya  nyungsep.,Netral,negara  bisa maju klo sdm nya  mumpuni.......sampe kpn pun tdk akn mju klo sdmnya  nyungsep.,negara bisa maju klo sdm nya mumpuni       sampe kpn pun tdk akn mju klo sdmnya nyungsep,negara bisa maju kalau sdm nya mumpuni sampai kapan pun tidak akan maju kalau sdmnya nyungsep,"['negara', 'bisa', 'maju', 'kalau', 'sdm', 'nya', 'mumpuni', 'sampai', 'kapan', 'pun', 'tidak', 'akan', 'maju', 'kalau', 'sdmnya', 'nyungsep']","['negara', '', 'maju', 'kalau', 'sdm', 'nya', 'mumpuni', '', 'kapan', '', '', '', 'maju', 'kalau', 'sdmnya', 'nyungsep']","['negara', '', 'maju', 'kalau', 'sdm', 'nya', 'mumpuni', '', 'kapan', '', '', '', 'maju', 'kalau', 'sdmnya', 'nyungsep']","['negara', 'maju', 'kalau', 'sdm', 'nya', 'mumpuni', 'kapan', 'maju', 'kalau', 'sdmnya', 'nyungsep']"
635,678,"Banyak supplier China,<br>Itu proyek para oligark",Negatif,"banyak supplier china,<br>itu proyek para oligark",banyak supplier china  itu proyek para oligark,banyak supplier china itu proyek para oligark,"['banyak', 'supplier', 'china', 'itu', 'proyek', 'para', 'oligark']","['banyak', 'supplier', 'china', '', 'proyek', '', 'oligark']","['banyak', 'supplier', 'china', '', 'proyek', '', 'oligark']","['banyak', 'supplier', 'china', 'proyek', 'oligark']"
636,679,"Teringat 10 tahun lalu saya merantau ke daerah ini, jalan masih berbatu, listrik belum masuk... Tahun 2023 ini sudah mulai pembangunan IKN 👍",Netral,"teringat 10 tahun lalu saya merantau ke daerah ini, jalan masih berbatu, listrik belum masuk... tahun 2023 ini sudah mulai pembangunan ikn 👍",teringat   tahun lalu saya merantau ke daerah ini  jalan masih berbatu  listrik belum masuk    tahun   ini sudah mulai pembangunan ikn,teringat tahun lalu saya merantau ke daerah ini jalan masih berbatu listrik belum masuk tahun ini sudah mulai pembangunan ikn,"['teringat', 'tahun', 'lalu', 'saya', 'merantau', 'ke', 'daerah', 'ini', 'jalan', 'masih', 'berbatu', 'listrik', 'belum', 'masuk', 'tahun', 'ini', 'sudah', 'mulai', 'pembangunan', 'ikn']","['teringat', 'tahun', 'lalu', '', 'merantau', '', 'daerah', '', 'jalan', '', 'berbatu', 'listrik', '', 'masuk', 'tahun', '', '', 'mulai', 'pembangunan', 'ikn']","['ingat', 'tahun', 'lalu', '', 'rantau', '', 'daerah', '', 'jalan', '', 'batu', 'listrik', '', 'masuk', 'tahun', '', '', 'mulai', 'bangun', 'ikn']","['ingat', 'tahun', 'lalu', 'rantau', 'daerah', 'jalan', 'batu', 'listrik', 'masuk', 'tahun', 'mulai', 'bangun', 'ikn']"
637,680,"Wah enak ya pemerintah bangun rumah bagus bagus enak lagi hasil ngutang,tapi nanti bayar utang nya cekik rakyat naikin pajak terus dan tambah pajak lagi",Negatif,"wah enak ya pemerintah bangun rumah bagus bagus enak lagi hasil ngutang,tapi nanti bayar utang nya cekik rakyat naikin pajak terus dan tambah pajak lagi",wah enak ya pemerintah bangun rumah bagus bagus enak lagi hasil ngutang tapi nanti bayar utang nya cekik rakyat naikin pajak terus dan tambah pajak lagi,wah enak iya pemerintah bangun rumah bagus bagus enak lagi hasil hutang tapi nanti bayar hutang nya cekik rakyat naikin pajak terus dan tambah pajak lagi,"['wah', 'enak', 'iya', 'pemerintah', 'bangun', 'rumah', 'bagus', 'bagus', 'enak', 'lagi', 'hasil', 'hutang', 'tapi', 'nanti', 'bayar', 'hutang', 'nya', 'cekik', 'rakyat', 'naikin', 'pajak', 'terus', 'dan', 'tambah', 'pajak', 'lagi']","['wah', 'enak', 'iya', 'pemerintah', 'bangun', 'rumah', 'bagus', 'bagus', 'enak', '', 'hasil', 'hutang', '', '', 'bayar', 'hutang', 'nya', 'cekik', 'rakyat', 'naikin', 'pajak', 'terus', '', 'tambah', 'pajak', '']","['wah', 'enak', 'iya', 'perintah', 'bangun', 'rumah', 'bagus', 'bagus', 'enak', '', 'hasil', 'hutang', '', '', 'bayar', 'hutang', 'nya', 'cekik', 'rakyat', 'naikin', 'pajak', 'terus', '', 'tambah', 'pajak', '']","['wah', 'enak', 'iya', 'perintah', 'bangun', 'rumah', 'bagus', 'bagus', 'enak', 'hasil', 'hutang', 'bayar', 'hutang', 'nya', 'cekik', 'rakyat', 'naikin', 'pajak', 'terus', 'tambah', 'pajak']"
638,681,"Bismillah, semoga pembangunan IKN berjalan dengan lancar, dan semoga berkelanjutan.. Aamiin",Positif,"bismillah, semoga pembangunan ikn berjalan dengan lancar, dan semoga berkelanjutan.. aamiin",bismillah  semoga pembangunan ikn berjalan dengan lancar  dan semoga berkelanjutan   aamiin,bismillah semoga pembangunan ikn berjalan dengan lancar dan semoga berkelanjutan aamiin,"['bismillah', 'semoga', 'pembangunan', 'ikn', 'berjalan', 'dengan', 'lancar', 'dan', 'semoga', 'berkelanjutan', 'aamiin']","['bismillah', 'semoga', 'pembangunan', 'ikn', 'berjalan', '', 'lancar', '', 'semoga', 'berkelanjutan', 'aamiin']","['bismillah', 'moga', 'bangun', 'ikn', 'jalan', '', 'lancar', '', 'moga', 'lanjut', 'aamiin']","['bismillah', 'moga', 'bangun', 'ikn', 'jalan', 'lancar', 'moga', 'lanjut', 'aamiin']"
639,682,Ga ada kabar apa2 kok sdh cpt progresnya,Negatif,ga ada kabar apa2 kok sdh cpt progresnya,ga ada kabar apa  kok sdh cpt progresnya,tidak ada kabar apa kok sudah cepat progresnya,"['tidak', 'ada', 'kabar', 'apa', 'kok', 'sudah', 'cepat', 'progresnya']","['', '', 'kabar', 'apa', 'kok', '', 'cepat', 'progresnya']","['', '', 'kabar', 'apa', 'kok', '', 'cepat', 'progres']","['kabar', 'apa', 'kok', 'cepat', 'progres']"
640,683,"ini dananya dari mana?..., katanya ekonomi sedang krisis",Negatif,"ini dananya dari mana?..., katanya ekonomi sedang krisis",ini dananya dari mana     katanya ekonomi sedang krisis,ini dananya dari mana katanya ekonomi sedang krisis,"['ini', 'dananya', 'dari', 'mana', 'katanya', 'ekonomi', 'sedang', 'krisis']","['', 'dananya', '', 'mana', 'katanya', 'ekonomi', 'sedang', 'krisis']","['', 'dana', '', 'mana', 'kata', 'ekonomi', 'sedang', 'krisis']","['dana', 'mana', 'kata', 'ekonomi', 'sedang', 'krisis']"
641,684,JOKOPLAK ANAK PKI IJAZAH PALSU,Negatif,jokoplak anak pki ijazah palsu,jokoplak anak pki ijazah palsu,jokoplak anak pki ijazah palsu,"['jokoplak', 'anak', 'pki', 'ijazah', 'palsu']","['jokoplak', 'anak', 'pki', 'ijazah', 'palsu']","['jokoplak', 'anak', 'pki', 'ijazah', 'palsu']","['jokoplak', 'anak', 'pki', 'ijazah', 'palsu']"
642,685,Harusnya pembangunan istana ini harus ada rapat pendukung dan yg tidak setuju bukan sebagai presiden bangun sana sini utang sana sini,Negatif,harusnya pembangunan istana ini harus ada rapat pendukung dan yg tidak setuju bukan sebagai presiden bangun sana sini utang sana sini,harusnya pembangunan istana ini harus ada rapat pendukung dan yg tidak setuju bukan sebagai presiden bangun sana sini utang sana sini,harusnya pembangunan istana ini harus ada rapat pendukung dan yang tidak setuju bukan sebagai presiden bangun sana sini hutang sana sini,"['harusnya', 'pembangunan', 'istana', 'ini', 'harus', 'ada', 'rapat', 'pendukung', 'dan', 'yang', 'tidak', 'setuju', 'bukan', 'sebagai', 'presiden', 'bangun', 'sana', 'sini', 'hutang', 'sana', 'sini']","['harusnya', 'pembangunan', 'istana', '', '', '', 'rapat', 'pendukung', '', '', '', 'setuju', 'bukan', '', 'presiden', 'bangun', 'sana', 'sini', 'hutang', 'sana', 'sini']","['harus', 'bangun', 'istana', '', '', '', 'rapat', 'dukung', '', '', '', 'tuju', 'bukan', '', 'presiden', 'bangun', 'sana', 'sini', 'hutang', 'sana', 'sini']","['harus', 'bangun', 'istana', 'rapat', 'dukung', 'tuju', 'bukan', 'presiden', 'bangun', 'sana', 'sini', 'hutang', 'sana', 'sini']"
643,686,"Walau nanti pada akhirnya ibukota semakin jauh dari Sumatera, tapi saya tetap mendukung demi pemerataan pembangunan.",Positif,"walau nanti pada akhirnya ibukota semakin jauh dari sumatera, tapi saya tetap mendukung demi pemerataan pembangunan.",walau nanti pada akhirnya ibukota semakin jauh dari sumatera  tapi saya tetap mendukung demi pemerataan pembangunan,walau nanti pada akhirnya ibukota semakin jauh dari sumatera tapi saya tetap mendukung demi pemerataan pembangunan,"['walau', 'nanti', 'pada', 'akhirnya', 'ibukota', 'semakin', 'jauh', 'dari', 'sumatera', 'tapi', 'saya', 'tetap', 'mendukung', 'demi', 'pemerataan', 'pembangunan']","['', '', '', 'akhirnya', 'ibukota', 'semakin', 'jauh', '', 'sumatera', '', '', 'tetap', 'mendukung', '', 'pemerataan', 'pembangunan']","['', '', '', 'akhir', 'ibukota', 'makin', 'jauh', '', 'sumatera', '', '', 'tetap', 'dukung', '', 'perata', 'bangun']","['akhir', 'ibukota', 'makin', 'jauh', 'sumatera', 'tetap', 'dukung', 'perata', 'bangun']"
644,687,Ikn  nusantara di kasi monas lebi bagus ya,Positif,ikn  nusantara di kasi monas lebi bagus ya,ikn nusantara di kasi monas lebi bagus ya,ikn nusantara di kasih monas lebih bagus iya,"['ikn', 'nusantara', 'di', 'kasih', 'monas', 'lebih', 'bagus', 'iya']","['ikn', 'nusantara', '', 'kasih', 'monas', 'lebih', 'bagus', 'iya']","['ikn', 'nusantara', '', 'kasih', 'monas', 'lebih', 'bagus', 'iya']","['ikn', 'nusantara', 'kasih', 'monas', 'lebih', 'bagus', 'iya']"
645,688,"semoga dipermudahkan pembangunanya ,kita dukung sbgai masarakat indonesia dan turut mengapresiasi ibu kota nusantara . indonesia harus merata dlm berbagai bidang.",Positif,"semoga dipermudahkan pembangunanya ,kita dukung sbgai masarakat indonesia dan turut mengapresiasi ibu kota nusantara . indonesia harus merata dlm berbagai bidang.",semoga dipermudahkan pembangunanya  kita dukung sbgai masarakat indonesia dan turut mengapresiasi ibu kota nusantara   indonesia harus merata dlm berbagai bidang,semoga dipermudahkan pembangunannya kita dukung sebagai masyarakat indonesia dan turut mengapresiasi ibu kota nusantara indonesia harus merata dalam berbagai bidang,"['semoga', 'dipermudahkan', 'pembangunannya', 'kita', 'dukung', 'sebagai', 'masyarakat', 'indonesia', 'dan', 'turut', 'mengapresiasi', 'ibu', 'kota', 'nusantara', 'indonesia', 'harus', 'merata', 'dalam', 'berbagai', 'bidang']","['semoga', 'dipermudahkan', 'pembangunannya', '', 'dukung', '', 'masyarakat', 'indonesia', '', 'turut', 'mengapresiasi', 'ibu', 'kota', 'nusantara', 'indonesia', '', 'merata', '', 'berbagai', 'bidang']","['moga', 'mudah', 'bangun', '', 'dukung', '', 'masyarakat', 'indonesia', '', 'turut', 'apresiasi', 'ibu', 'kota', 'nusantara', 'indonesia', '', 'rata', '', 'bagai', 'bidang']","['moga', 'mudah', 'bangun', 'dukung', 'masyarakat', 'indonesia', 'turut', 'apresiasi', 'ibu', 'kota', 'nusantara', 'indonesia', 'rata', 'bagai', 'bidang']"
646,689,Pak jokowi ibu kota di kasi monas lebi baik ya,Positif,pak jokowi ibu kota di kasi monas lebi baik ya,pak jokowi ibu kota di kasi monas lebi baik ya,bapak jokowi ibu kota di kasih monas lebih baik iya,"['bapak', 'jokowi', 'ibu', 'kota', 'di', 'kasih', 'monas', 'lebih', 'baik', 'iya']","['bapak', 'jokowi', 'ibu', 'kota', '', 'kasih', 'monas', 'lebih', 'baik', 'iya']","['bapak', 'jokowi', 'ibu', 'kota', '', 'kasih', 'monas', 'lebih', 'baik', 'iya']","['bapak', 'jokowi', 'ibu', 'kota', 'kasih', 'monas', 'lebih', 'baik', 'iya']"
647,690,"Ada kuil, gereja dan sejenisnya ndak pak?",Netral,"ada kuil, gereja dan sejenisnya ndak pak?",ada kuil  gereja dan sejenisnya ndak pak,ada kuil gereja dan sejenisnya tidak bapak,"['ada', 'kuil', 'gereja', 'dan', 'sejenisnya', 'tidak', 'bapak']","['', 'kuil', 'gereja', '', 'sejenisnya', '', 'bapak']","['', 'kuil', 'gereja', '', 'jenis', '', 'bapak']","['kuil', 'gereja', 'jenis', 'bapak']"
648,691,Di kasi monan lebi asik ya,Netral,di kasi monan lebi asik ya,di kasi monan lebi asik ya,di kasih monan lebih asik iya,"['di', 'kasih', 'monan', 'lebih', 'asik', 'iya']","['', 'kasih', 'monan', 'lebih', 'asik', 'iya']","['', 'kasih', 'monan', 'lebih', 'asik', 'iya']","['kasih', 'monan', 'lebih', 'asik', 'iya']"
649,692,Ibu kata baru nggadibeken kan monas ya,Netral,ibu kata baru nggadibeken kan monas ya,ibu kata baru nggadibeken kan monas ya,ibu kata baru nggadibeken kan monas iya,"['ibu', 'kata', 'baru', 'nggadibeken', 'kan', 'monas', 'iya']","['ibu', 'kata', 'baru', 'nggadibeken', 'kan', 'monas', 'iya']","['ibu', 'kata', 'baru', 'nggadibeken', 'kan', 'monas', 'iya']","['ibu', 'kata', 'baru', 'nggadibeken', 'kan', 'monas', 'iya']"
650,693,"Luar biasa, semoga IKN Nusantara sukses<br>Salam Indonesia Maju<br>Dari Karawang Jawa Barat",Positif,"luar biasa, semoga ikn nusantara sukses<br>salam indonesia maju<br>dari karawang jawa barat",luar biasa  semoga ikn nusantara sukses salam indonesia maju dari karawang jawa barat,luar biasa semoga ikn nusantara sukses salam indonesia maju dari karawang jawa barat,"['luar', 'biasa', 'semoga', 'ikn', 'nusantara', 'sukses', 'salam', 'indonesia', 'maju', 'dari', 'karawang', 'jawa', 'barat']","['luar', 'biasa', 'semoga', 'ikn', 'nusantara', 'sukses', 'salam', 'indonesia', 'maju', '', 'karawang', 'jawa', 'barat']","['luar', 'biasa', 'moga', 'ikn', 'nusantara', 'sukses', 'salam', 'indonesia', 'maju', '', 'karawang', 'jawa', 'barat']","['luar', 'biasa', 'moga', 'ikn', 'nusantara', 'sukses', 'salam', 'indonesia', 'maju', 'karawang', 'jawa', 'barat']"
651,694,Pak jokowi akan mempelopori memulai pemindahan dengan berkantor di IKN di bulan ini di ikuti para mentrinya..semoga sukses..,Positif,pak jokowi akan mempelopori memulai pemindahan dengan berkantor di ikn di bulan ini di ikuti para mentrinya..semoga sukses..,pak jokowi akan mempelopori memulai pemindahan dengan berkantor di ikn di bulan ini di ikuti para mentrinya  semoga sukses,bapak jokowi akan mempelopori memulai pemindahan dengan berkantor di ikn di bulan ini di ikuti para mentrinya semoga sukses,"['bapak', 'jokowi', 'akan', 'mempelopori', 'memulai', 'pemindahan', 'dengan', 'berkantor', 'di', 'ikn', 'di', 'bulan', 'ini', 'di', 'ikuti', 'para', 'mentrinya', 'semoga', 'sukses']","['bapak', 'jokowi', '', 'mempelopori', 'memulai', 'pemindahan', '', 'berkantor', '', 'ikn', '', 'bulan', '', '', 'ikuti', '', 'mentrinya', 'semoga', 'sukses']","['bapak', 'jokowi', '', 'lopor', 'mulai', 'pindah', '', 'kantor', '', 'ikn', '', 'bulan', '', '', 'ikut', '', 'tri', 'moga', 'sukses']","['bapak', 'jokowi', 'lopor', 'mulai', 'pindah', 'kantor', 'ikn', 'bulan', 'ikut', 'tri', 'moga', 'sukses']"
652,696,"Jujur, sy bbrapa x pergi k Kuching dan senang sama tata kotanya d sana jalan luas, t4 parkir luas (g ada kang parkir) g ada kabel listrik yg semerawut.. Smg IKN nntinya lebih bgs dr Kuching, Serawak Malaysia.",Positif,"jujur, sy bbrapa x pergi k kuching dan senang sama tata kotanya d sana jalan luas, t4 parkir luas (g ada kang parkir) g ada kabel listrik yg semerawut.. smg ikn nntinya lebih bgs dr kuching, serawak malaysia.",jujur  sy bbrapa   pergi   kuching dan senang sama tata kotanya   sana jalan luas     parkir luas   ada kang parkir   ada kabel listrik yg semerawut   smg ikn nntinya lebih bgs dr kuching  serawak malaysia,jujur saya beberapa pergi kuching dan senang sama tata kotanya sana jalan luas parkir luas ada kang parkir ada kabel listrik yang semerawut semoga ikn nntinya lebih bgs dari kuching serawak malaysia,"['jujur', 'saya', 'beberapa', 'pergi', 'kuching', 'dan', 'senang', 'sama', 'tata', 'kotanya', 'sana', 'jalan', 'luas', 'parkir', 'luas', 'ada', 'kang', 'parkir', 'ada', 'kabel', 'listrik', 'yang', 'semerawut', 'semoga', 'ikn', 'nntinya', 'lebih', 'bgs', 'dari', 'kuching', 'serawak', 'malaysia']","['jujur', '', 'beberapa', 'pergi', 'kuching', '', 'senang', 'sama', 'tata', 'kotanya', 'sana', 'jalan', 'luas', 'parkir', 'luas', '', 'kang', 'parkir', '', 'kabel', 'listrik', '', 'semerawut', 'semoga', 'ikn', 'nntinya', 'lebih', 'bgs', '', 'kuching', 'serawak', 'malaysia']","['jujur', '', 'beberapa', 'pergi', 'kuching', '', 'senang', 'sama', 'tata', 'kota', 'sana', 'jalan', 'luas', 'parkir', 'luas', '', 'kang', 'parkir', '', 'kabel', 'listrik', '', 'semerawut', 'moga', 'ikn', 'nntinya', 'lebih', 'bgs', '', 'kuching', 'serawak', 'malaysia']","['jujur', 'beberapa', 'pergi', 'kuching', 'senang', 'sama', 'tata', 'kota', 'sana', 'jalan', 'luas', 'parkir', 'luas', 'kang', 'parkir', 'kabel', 'listrik', 'semerawut', 'moga', 'ikn', 'nntinya', 'lebih', 'bgs', 'kuching', 'serawak', 'malaysia']"
653,697,"Semoga presiden berikutnya setelah bpk. Jokowi memiliki kapasitas dan kebulatan tekad untuk membangun negeri ini baik dari segi infrastukturnya, SDM, dan ekonomi. 2024 menjadi titik penentu apakah indonesia akan melanjutkan kegemilangannya sekarang, atau malah terperosok ke dalam jurang kehancuran. Itulah mengaka kita harus sadar saat memilih seorang pemimpin. Jangan lagi terkecoh oleh narasi, isu sara, dan propaganda yg membuat masyarakat terpecah belah. Indonesia itu negara kaya raya, salah memilih pemimpin akan membuat negara kita mundur dan tertinggal jauh dari negara lain.",Positif,"semoga presiden berikutnya setelah bpk. jokowi memiliki kapasitas dan kebulatan tekad untuk membangun negeri ini baik dari segi infrastukturnya, sdm, dan ekonomi. 2024 menjadi titik penentu apakah indonesia akan melanjutkan kegemilangannya sekarang, atau malah terperosok ke dalam jurang kehancuran. itulah mengaka kita harus sadar saat memilih seorang pemimpin. jangan lagi terkecoh oleh narasi, isu sara, dan propaganda yg membuat masyarakat terpecah belah. indonesia itu negara kaya raya, salah memilih pemimpin akan membuat negara kita mundur dan tertinggal jauh dari negara lain.",semoga presiden berikutnya setelah bpk  jokowi memiliki kapasitas dan kebulatan tekad untuk membangun negeri ini baik dari segi infrastukturnya  sdm  dan ekonomi    menjadi titik penentu apakah indonesia akan melanjutkan kegemilangannya sekarang  atau malah terperosok ke dalam jurang kehancuran  itulah mengaka kita harus sadar saat memilih seorang pemimpin  jangan lagi terkecoh oleh narasi  isu sara  dan propaganda yg membuat masyarakat terpecah belah  indonesia itu negara kaya raya  salah memilih pemimpin akan membuat negara kita mundur dan tertinggal jauh dari negara lain,semoga presiden berikutnya setelah bapak jokowi memiliki kapasitas dan kebulatan tekad untuk membangun negeri ini baik dari segi infrastukturnya sdm dan ekonomi menjadi titik penentu apakah indonesia akan melanjutkan kegemilangannya sekarang atau malah terperosok ke dalam jurang kehancuran itulah mengaka kita harus sadar saat memilih seorang pemimpin jangan lagi terkecoh oleh narasi isu sara dan propaganda yang membuat masyarakat terpecah belah indonesia itu negara kaya raya salah memilih pemimpin akan membuat negara kita mundur dan tertinggal jauh dari negara lain,"['semoga', 'presiden', 'berikutnya', 'setelah', 'bapak', 'jokowi', 'memiliki', 'kapasitas', 'dan', 'kebulatan', 'tekad', 'untuk', 'membangun', 'negeri', 'ini', 'baik', 'dari', 'segi', 'infrastukturnya', 'sdm', 'dan', 'ekonomi', 'menjadi', 'titik', 'penentu', 'apakah', 'indonesia', 'akan', 'melanjutkan', 'kegemilangannya', 'sekarang', 'atau', 'malah', 'terperosok', 'ke', 'dalam', 'jurang', 'kehancuran', 'itulah', 'mengaka', 'kita', 'harus', 'sadar', 'saat', 'memilih', 'seorang', 'pemimpin', 'jangan', 'lagi', 'terkecoh', 'oleh', 'narasi', 'isu', 'sara', 'dan', 'propaganda', 'yang', 'membuat', 'masyarakat', 'terpecah', 'belah', 'indonesia', 'itu', 'negara', 'kaya', 'raya', 'salah', 'memilih', 'pemimpin', 'akan', 'membuat', 'negara', 'kita', 'mundur', 'dan', 'tertinggal', 'jauh', 'dari', 'negara', 'lain']","['semoga', 'presiden', 'berikutnya', '', 'bapak', 'jokowi', 'memiliki', 'kapasitas', '', 'kebulatan', 'tekad', '', 'membangun', 'negeri', '', 'baik', '', 'segi', 'infrastukturnya', 'sdm', '', 'ekonomi', 'menjadi', 'titik', 'penentu', '', 'indonesia', '', 'melanjutkan', 'kegemilangannya', 'sekarang', '', 'malah', 'terperosok', '', '', 'jurang', 'kehancuran', '', 'mengaka', '', '', 'sadar', '', 'memilih', 'seorang', 'pemimpin', 'jangan', '', 'terkecoh', '', 'narasi', 'isu', 'sara', '', 'propaganda', '', 'membuat', 'masyarakat', 'terpecah', 'belah', 'indonesia', '', 'negara', 'kaya', 'raya', 'salah', 'memilih', 'pemimpin', '', 'membuat', 'negara', '', 'mundur', '', 'tertinggal', 'jauh', '', 'negara', '']","['moga', 'presiden', 'ikut', '', 'bapak', 'jokowi', 'milik', 'kapasitas', '', 'bulat', 'tekad', '', 'bangun', 'negeri', '', 'baik', '', 'segi', 'infrastukturnya', 'sdm', '', 'ekonomi', 'jadi', 'titik', 'tentu', '', 'indonesia', '', 'lanjut', 'gemilang', 'sekarang', '', 'malah', 'perosok', '', '', 'jurang', 'hancur', '', 'mengaka', '', '', 'sadar', '', 'pilih', 'orang', 'pimpin', 'jangan', '', 'kecoh', '', 'narasi', 'isu', 'sara', '', 'propaganda', '', 'buat', 'masyarakat', 'pecah', 'belah', 'indonesia', '', 'negara', 'kaya', 'raya', 'salah', 'pilih', 'pimpin', '', 'buat', 'negara', '', 'mundur', '', 'tinggal', 'jauh', '', 'negara', '']","['moga', 'presiden', 'ikut', 'bapak', 'jokowi', 'milik', 'kapasitas', 'bulat', 'tekad', 'bangun', 'negeri', 'baik', 'segi', 'infrastukturnya', 'sdm', 'ekonomi', 'jadi', 'titik', 'tentu', 'indonesia', 'lanjut', 'gemilang', 'sekarang', 'malah', 'perosok', 'jurang', 'hancur', 'mengaka', 'sadar', 'pilih', 'orang', 'pimpin', 'jangan', 'kecoh', 'narasi', 'isu', 'sara', 'propaganda', 'buat', 'masyarakat', 'pecah', 'belah', 'indonesia', 'negara', 'kaya', 'raya', 'salah', 'pilih', 'pimpin', 'buat', 'negara', 'mundur', 'tinggal', 'jauh', 'negara']"
654,698,"Inilah karya tata putra-putri cerdik pandai,ya Tuhan kami trimalah karya kami untuk sejarA buat anak cucu kita,trimala karya anak bangsa.",Positif,"inilah karya tata putra-putri cerdik pandai,ya tuhan kami trimalah karya kami untuk sejara buat anak cucu kita,trimala karya anak bangsa.",inilah karya tata putraputri cerdik pandai ya tuhan kami trimalah karya kami untuk sejara buat anak cucu kita trimala karya anak bangsa,inilah karya tata putraputri cerdik pandai iya tuhan kami terimalah karya kami untuk sejarah buat anak cucu kita trimala karya anak bangsa,"['inilah', 'karya', 'tata', 'putraputri', 'cerdik', 'pandai', 'iya', 'tuhan', 'kami', 'terimalah', 'karya', 'kami', 'untuk', 'sejarah', 'buat', 'anak', 'cucu', 'kita', 'trimala', 'karya', 'anak', 'bangsa']","['inilah', 'karya', 'tata', 'putraputri', 'cerdik', 'pandai', 'iya', 'tuhan', '', 'terimalah', 'karya', '', '', 'sejarah', 'buat', 'anak', 'cucu', '', 'trimala', 'karya', 'anak', 'bangsa']","['ini', 'karya', 'tata', 'putraputri', 'cerdik', 'pandai', 'iya', 'tuhan', '', 'terima', 'karya', '', '', 'sejarah', 'buat', 'anak', 'cucu', '', 'trimala', 'karya', 'anak', 'bangsa']","['ini', 'karya', 'tata', 'putraputri', 'cerdik', 'pandai', 'iya', 'tuhan', 'terima', 'karya', 'sejarah', 'buat', 'anak', 'cucu', 'trimala', 'karya', 'anak', 'bangsa']"
655,699,Mudah2an kedepannya jgn melupakan reboisasi...penghijauan alam dg tanaman pohon2 yg lebat mudah2n jgn d lupakan,Positif,mudah2an kedepannya jgn melupakan reboisasi...penghijauan alam dg tanaman pohon2 yg lebat mudah2n jgn d lupakan,mudah an kedepannya jgn melupakan reboisasi   penghijauan alam dg tanaman pohon  yg lebat mudah   jgn   lupakan,mudah an kedepannya jangan melupakan reboisasi penghijauan alam dengan tanaman pohon yang lebat mudah jangan lupakan,"['mudah', 'an', 'kedepannya', 'jangan', 'melupakan', 'reboisasi', 'penghijauan', 'alam', 'dengan', 'tanaman', 'pohon', 'yang', 'lebat', 'mudah', 'jangan', 'lupakan']","['mudah', 'an', 'kedepannya', 'jangan', 'melupakan', 'reboisasi', 'penghijauan', 'alam', '', 'tanaman', 'pohon', '', 'lebat', 'mudah', 'jangan', 'lupakan']","['mudah', 'an', 'depan', 'jangan', 'lupa', 'reboisasi', 'hijau', 'alam', '', 'tanam', 'pohon', '', 'lebat', 'mudah', 'jangan', 'lupa']","['mudah', 'an', 'depan', 'jangan', 'lupa', 'reboisasi', 'hijau', 'alam', 'tanam', 'pohon', 'lebat', 'mudah', 'jangan', 'lupa']"
656,700,Kalian ngapain berdoa dicomment hahaha,Netral,kalian ngapain berdoa dicomment hahaha,kalian ngapain berdoa dicomment hahaha,kalian ngapain berdoa dicomment hahaha,"['kalian', 'ngapain', 'berdoa', 'dicomment', 'hahaha']","['kalian', 'ngapain', 'berdoa', 'dicomment', 'hahaha']","['kalian', 'ngapain', 'doa', 'dicomment', 'hahaha']","['kalian', 'ngapain', 'doa', 'dicomment', 'hahaha']"
657,701,Alah orng pribumi tetap gak di kasih kursi juga,Negatif,alah orng pribumi tetap gak di kasih kursi juga,alah orng pribumi tetap gak di kasih kursi juga,alah orang pribumi tetap tidak di kasih kursi juga,"['alah', 'orang', 'pribumi', 'tetap', 'tidak', 'di', 'kasih', 'kursi', 'juga']","['alah', 'orang', 'pribumi', 'tetap', '', '', 'kasih', 'kursi', '']","['alah', 'orang', 'pribumi', 'tetap', '', '', 'kasih', 'kursi', '']","['alah', 'orang', 'pribumi', 'tetap', 'kasih', 'kursi']"
658,702,Lanjutkan!!! Jgn mangkrak klo bisa..,Positif,lanjutkan!!! jgn mangkrak klo bisa..,lanjutkan jgn mangkrak klo bisa,lanjutkan jangan mangkrak kalau bisa,"['lanjutkan', 'jangan', 'mangkrak', 'kalau', 'bisa']","['lanjutkan', 'jangan', 'mangkrak', 'kalau', '']","['lanjut', 'jangan', 'mangkrak', 'kalau', '']","['lanjut', 'jangan', 'mangkrak', 'kalau']"
