text_preprocessed,Polarity
bahagia sungguh tua nikmat cucu hati merdeka anak aman bangsa ikut nyaman bangga moga,Positif
sambut indonesia maju,Positif
pariwisata bintang sgr tampil bondong daya rw rt antar lomba tanggal asn usul diri sd tarik kab ri dayak kemudian tunjuk sesuai bila hut tingkat wisata kaum upacara agustus lingkung ada lihat pindah baru ikn budaya baik,Positif
alias maha prima pj progress sangga emas generasi balikpapan turut rezeki tuhan amanah suatu mega selalu beri terus takut sehat ikut sukses nusantara buat tuju tahun kota satu kerja bangga indonesia bangun cepat makin moga lanjut presiden ikn mangkrak proyek jangan,Positif
pns jadi ikut sukses bangun semua,Positif
nyala listrik kabel mana lihat negara,Netral
power super ri negara dunia tuju lebih baik,Positif
manis media liat,Negatif
nomer deal wa sini ayo indonesia iya,Netral
hukum koruptor mati manfaat moga proyek,Positif
wakanda konoha persen sangat dukung proyek,Positif
padahal hambur habis penting rakyat uang ikn lebih,Negatif
bravo bapak lancar moga ikn,Positif
wkwk mending iya meikarta lah,Positif
tuai ketua bencana adat karma laku alam cucu bumi anak hancur masa jadi tempat inti depan moga apa,Negatif
baswedan anies jadi kalau presiden mangkrak,Negatif
pokok bapak mantap presiden,Positif
deh iya moga,Positif
rumah sakit covid,Negatif
hehe gampang kira lihat ibu kota pindah sama meikarta mangkrak proyek,Negatif
obral capres lowong rt lewat lokal ayo serap ribu selalu cerdas kata janji pilih harap jokowi kerja bapak lanjut ikn jangan salah jalan,Netral
mandek pensiunkhawatir lekas fokus diri jokowi pimpin bapak moga lanjut ikn,Positif
anus menang wkwk hampir henti baswedan iya kalau,Netral
alhamdulillah yra aamiin,Positif
pns kesana usaha perintah ikut pindah cepat moga,Netral
jauh nyata mimpi penting rakyat mau urus kalau memang,Negatif
pantas segala negara ibu jakarta kota pindah nya memang,Positif
puja jin,Negatif
tiongkok kuat sanksi putin maksud meski minimal habis cerdas takut tetap hutang jokowi sama kalau apa paham lah,Negatif
sempadan upa peraturang raya terlalu dekat masuk kurang larang awas jadi buat laksana bangun nya jangan jalan,Negatif
kontruksi kuat bulan sulit asal selesai istilah menteri gedung jadi negara tuju tahun sama bangun cepat moga semua,Positif
umur rampung panjang saksi sehat biar lancar moga ikn,Positif
jawab bayar siapa bapak,Netral
obrol ngurusin bodo bobot manfaat tahu begini iya bang malas,Negatif
sengsara bikin rakyat ikn,Negatif
berkah mafia pihak koruptor rugi bagai jauh adab cerdas jadi inovatif indonesia maju lancar moga lebih,Positif
gundul hutan harap kalimantan jangan,Positif
paradigma dahulu jalan,Netral
cukup teroris rasa an kuasa datang baswedan anies si undang jakarta indonesia jangan,Negatif
like be warga kalimantan,Netral
jaga progres sesuai paksa penting rencana biar kerja cepat moga jangan jalan,Positif
protes syariat hukum sebut bikin istana allah cebong islam nama baru,Negatif
lumayan dua provinsi ekspor blok lengkap besar infrastruktur selalu kaltim jadi buat tahun satu indonesia maju ikn,Positif
ken jadi pindah,Netral
tuhh tebing wajah pein pas an patung konoha ingat habis besar laku tambah indonesia bangun makin kalau presiden ikn,Netral
rubah model masak begitu jadi mau nama rencana ibukota iya bangun kalau bagaimana dulu jalan,Netral
siap mangkrak,Negatif
besar jadi kota kalimantan,Positif
maksa balikpapan lokal luar macet nikmat kasihan tambah tonton warga jadi sangat kerja siapa iya proyek sih,Negatif
telat sedikit negara ibu lambat kota pindah baru indonesia memang,Positif
ken sana kerja proyek,Netral
ingin aamiin lancar moga apa,Positif
istana baswedan anies tetap ibu jakarta kota baru bapak presiden,Negatif
ytc damai penuh berkat juang halang capai tuhan punya beri semangat doa seluruh makmur salam merdeka bangsa negara tempat sukses wujud ibu kota harap laksana baru indonesia bangun lancar ikn lebih,Positif
lunas dana segera negara mungkin tuju walaupun hutang aamiin bangga bangun nya lancar moga,Positif
minat kesana tau cara masuk kerja nya ikn,Netral
jos,Positif
selalu sehat semua,Positif
moga,Netral
puncak jauh wkwk noh datang pribumi banyak lihat nama,Netral
pakat maha sesuai tahu allah niat sukses rencana jokowi apa,Positif
imbang sebab patah beberapa bakar pernah bencana tolak perata itu titik tepat lewat atur lahan banjir gempa laku alam awal bumi bodoh jadi sana jalur lama orang bangun kalimantan ikn memang,Positif
pr ri ikut buat presiden,Netral
pahlawan sejarah mau ngapain pindah iya bapak,Negatif
ugalan ugal bangun,Negatif
nge bangun ikn,Netral
industri hutan ganti,Netral
sukses cepat moga,Positif
hutan mau pindah siapa,Netral
pecah curiga selesai perang dunia ikn,Negatif
jauhjauh skeptis tetangga gagal usah contoh pindahin adab masuk tahun ibukota orang nya proyek,Negatif
datar banjir makanya tinggi anti pilih,Netral
kebut tinggal tahun,Netral
jokowi presiden,Netral
alah pribumi tetap kursi kasih orang,Negatif
tenggelam sebentar kasihan jakarta pindah indonesia iya nya,Negatif
kiri kanan lajur dubai bohong macet lawak doang ujung buat sama kalau jangan jalan,Negatif
suatu luar biasa doa anak bangsa jaya lihat hasil dukung indonesia maju mantap lancar moga lanjut semua,Positif
lindung ruang bawah tanah orang,Positif
yaman takfiri wahabi boss jaga alir budak komunis selatan masuk kadrun jangan,Negatif
hambat moga apa,Positif
kuli loker bangun info,Netral
siluman kira progres nyata jadi benar iya proyek,Positif
basuki murah mahal biaya negara ibu jakarta kota bangun bapak lebih baik,Positif
kirain tau kuli wkwk bikin gedung mau buat nya,Negatif
hutan sayang,Negatif
bukan pribumi milik,Netral
sifat lah,Negatif
vietnam mati kaya jadi kota pindah moga mangkrak,Positif
masjid bikin suara ruang keras biar pakai dong,Negatif
tawakaltu masya alhamdulillah bismillah allah lancar,Positif
mana nih,Netral
nnnaaahh plastik sembarang dagang malah usah jual bikin selalu biasa wisata banyak jadi buang tempat kumuh kota benar pakai indonesia kalau,Netral
gaji bakar ringan besar sekali sekarang bagi terus sama iya bangun,Negatif
pinggir konsep sepenuh topografi hujan sungai datar per ancam model rendah banjir tinggi tata hati masuk kaltim bukit dalam ruang jadi air buat tahun tanah kota bangun kalau ikn,Positif
upsss ku pindah meikarta,Netral
listrik kabel atas rapi tanam biar makin bapak ganti moga,Positif
jamin ganti presiden mangkrak,Negatif
beberapa rusak jadi kereta tahun kota baru cepat bapak moga jangan tol,Positif
ekosistem situ alam kasihan rusak jadi,Negatif
mol warung besar kurang toko kalah ekonomi rakyat jadi mungkin orang kalau semua apa,Negatif
betawi drastis traffic najam segera senang kurang warga beres jakarta pindah ibukota bangun nya moga,Positif
mungkin,Negatif
insyaa proses beri allah bangsa ibu kota aamiin baru indonesia bangun lancar,Positif
top ikn,Positif
penjara sikat firdaus,Netral
selesai moga,Positif
etis rakyat sangat uang pakai bangun ikn,Negatif
paru dunia,Negatif
sanes sing allah,Netral
asri nuansa alam megah datang negara nyaman,Positif
nyungsep lho pinjam serakah kalian cicit gila rakus cucu anak jadi jabat mau jelas moga semua,Negatif
koar niah angan vidioin suara kadrun bilang citra iya lah,Netral
umat rata mesjid rumah seluruh adil nama iya bangun ibadah agama semua,Negatif
nyapres kemarin nafsu kampanye nkri tinggal terus mau pilih jokowi maju bapak lanjut ikn jangan salah lebih,Netral
sehat keren lancar moga semua,Positif
tni terowongan tunnel fasilitas pangkal istana aman kereta buat cepat presiden,Netral
sdmmasyarakat sederhana logika prioritas jauh sejahtera banyak jadi tetap mau kata jokowi bangun bapak nya ikn jangan bagaimana jalan,Netral
,Netral
terus sukses lancar moga ikn,Positif
situasi bengkak triliun rp sebab usul kali capai biaya sebut buruk ekonomi lihat naik sangat jelas kerja bangun makin ikn proyek,Negatif
pohon paru rusak banyak hutan lama dunia,Negatif
semarang unisula sipil wardana basuki teknik anak bantu nama bapak,Netral
lanjutin jamin kuasa selesai mungkin ganti proyek apa,Netral
ragu bunuh sekolah ternak teroris makan nkri masuk anak terus bayar uang nasional kalau ikn jangan malas lebih,Negatif
sebenernya andai bisnis kau tau kaltim kota,Netral
takut mau tahun satu lanjut presiden proyek,Negatif
masa jadi negara tuju depan indonesia maju ikn,Positif
nyoo,Netral
best dasar is the selalu selesai ku sehat jokowi baru cepat moga presiden,Positif
gaji rasa potong bangun ikn,Netral
miskin susah hidup beban rakyat banyak negara hutang nya moga,Positif
istana siap baswedan bapak presiden,Negatif
nkri balik korupsi benar pindah baru ibukota bangun maju moga baik,Negatif
trotoar kang eh jual megah banyak takut kota mah jalan,Negatif
ratus jiwa sakit jilid hambalang biasa mirip hahaha tahun indonesia orang proyek,Negatif
koruptor sarang,Negatif
wisata bukan jadi bagus bangun moga,Positif
kapan istana mulai negara bangun,Netral
duit hutang,Negatif
kesitu jin isi jawa mending anak buang tempat ngapain pindah ibukota,Negatif
segera percaya indonesia maju,Positif
kaya raya nyata indonesia,Netral
selesai banggan penting korupsi jadi cepat moga jangan,Positif
pohon kasihan sangat,Negatif
kabar meikarta kalimantan ikn,Negatif
pensiun widodo joko selesai jadi baru bangun presiden ikn,Negatif
kesana ibu kota baru,Netral
jauhjauh usah bikin bangkrut bangsa negara hutang bangun ikn,Negatif
sini istana bukan rapat harus sana tuju hutang dukung bangun presiden,Negatif
kuat ikn,Positif
duduk putus asli lokal utama suatu lupa libat hebat sama kerja indonesia orang lanjut semua jangan lebih,Netral
sempit dumay luas terlalu allah pikir moga,Netral
juang mati mau ngapain apa,Netral
andai jadi satu kerja bangga salah,Netral
,Netral
provinsi buat bagus ibukota nih,Positif
publish kritik puja serbu kotor komentar kalian sini program siap jadi bilang kata jokowi bagus kalau semua,Netral
semoi paku bener asri tepat daerah sebut hijau tambah banyak hutan sana sangat bapak memang,Positif
tionghoa tka yakin tetap ujung buat ibu jakarta kota biar ikn jalan,Negatif
masjid bangun kok,Negatif
usak bunuh alam jokowi,Negatif
simpang perata an rampung seluruh sejahtera mudah rakyat politik indonesia bangun,Positif
meikarta,Netral
kuat beri doa libat rakyat jadi sehat sukses ibu kota aamiin laksana bangga indonesia bangun moga ikn semua,Positif
tanya kadrun buat hutang apa,Netral
urgent tekor defisit super alias dapat pasu sejarah arti biaya makan besar panjang tanya kecil bangun ikn proyek apa lebih,Negatif
style jembatan punya iya bapak nya,Netral
nambah lengser kalian suruh jawab tanggung rakyat bayar hutang jangan,Negatif
otw prediksi muslim mayoritas bro nanti calon guna ruang jadi tempat kota kerja ibadah hari tiap,Netral
wacana beri mulai sehat batas rencana kerja indonesia kalau moga lanjut ikn semua,Positif
noor gubernur ir republik widodo joko timur haji beri negara kasih terima nusantara ibu kota indonesia bangun bapak kalimantan presiden,Positif
tunda provinsi prioritas didik anak negeri bangsa sehat mungkin buat baru bapak tiap,Negatif
sontoloyo tanya,Netral
skyway transportasi bangun bapak,Netral
muncul tibatiba otakatik belakang kubu rekomendasi tolak malah berita menang atur wkwk korupsi satu jokowi sama iya bapak kalau ikn,Negatif
undang nya kan,Netral
ungan belakang super menteri ter hebat jokowi baru ibukota indonesia iya bangun nya kok lah,Positif
pernah situ kerja,Netral
rezim ambisius prestisius manfaat miskin susah kurang rakyat buat mikir boros kalau proyek,Negatif
siasia kesitu sebut tanya sekarang selesai jadi jabat mau ujung pindah jokowi bangun bapak kalimantan lanjut presiden mangkrak,Netral
sosial masyaallah terimakasih seluruh adil allah perintah rakyat jadi sehat tuju jokowi kerja indonesia bapak lancar moga ikn,Positif
perancanaan manusia sangat aamiin kerja bagus lancar moga semua proyek jalan,Positif
nusa lai kontraktor manfaat usaha bangsa banyak jabat mungkin bangun moga semua,Negatif
semo hubung samarinda balikpapan nah lewat tinggal mau kereta nusantara ibu tuju lambat kota benar biar kerja iya cepat ikn,Positif
kagum terimakasih lokasi bagus,Positif
nyambung maaf mohon,Netral
ultah buruk atas besar mimpi kayak masyarakat hutang ikn,Negatif
masyaallah,Positif
ukur sedang mesjid pikir bangun kalau gereja,Positif
ribu puluh kerja bangun nya ikn,Netral
tenaga china kerja moga,Positif
indonesia mantap,Positif
tiang listrik kabel indah tanam pakai bangun,Positif
alfarisi luhut,Netral
meikarta moga,Positif
dukung iya maju kalau,Netral
tangguh bidang damai kuat generasi bagai manfaat infrastruktur alhamdulillah nkri kah tumbuh optimis hidup bangsa jaya terus hebat sukses aamiin satu bangun maju selamat assalamualaikum moga ikn,Positif
selalu jaya indonesia moga,Positif
luar biasa,Positif
rekomendasi listrik kabel tanam pakai,Positif
duit program bilang lanjut,Netral
tegas rahasia suap asri cukup indah atur besar luar alam tata mudah usaha banggan penting korupsi banyak liar jadi jabat negara sana semrawut ibu jakarta rencana kota uang benar indonesia bangun urus korban kalau lancar moga ikn lebih baik umum,Positif
operasi kapan sabar tingkat mudah mulai lihat dunia ibu kota baru baik,Positif
sekali mau kerja ikn,Netral
jaya indonesia,Positif
was nih,Negatif
sekutu jepang otot dah pernah rasa era malah usah tau perintah tambah begini negara kasih hutang sama indonesia kalau nya,Netral
rampung biar cepat,Positif
transparan jelas,Positif
permanen portable alias jembatan makanya potong tonton beton kkkk jadi buat jelas kalau jangan,Netral
duit habis negara benar,Negatif
sedikit,Netral
pandaiya putraputri sejarah tuhan ini tata cucu anak karya bangsa terima buat,Positif
dongo kwkwkw pegang rahman dpr undang,Netral
sumatra tentang rasa jawa jos salam ibukota indonesia orang bangun,Netral
seret modal sayang ibu kota hutang baru selamat,Negatif
otorita lingkungn panas capek jangn optimal hadap lupa kawasan tinggal tempat konstruksi kerja nya jangan,Positif
lndonesia sisa republik damai umur saksi bangsa jaya resmi wujud harap cepat ikn,Positif
usah bapak,Negatif
bungkus perdana nasi,Netral
hambat sedikit aamiin bangun lancar moga ikn jalan,Positif
papapapa gaji gan berapa memang,Netral
manis iklan sesuai janji,Negatif
mati jadi ikut kota harap siapa presiden,Positif
kelola asli penting kerja indonesia nya,Positif
sumber kaki orde antek daya ganggu kuasa alam nkri tangan asing kadrun baru jangan,Negatif
maju makin kalimantan moga,Positif
nyusahin gila bisa nyari rakyat buang doang uang presiden,Negatif
legacy tax sumberdaya pokok timur pinjam prioritas apbn bebas usah lengser tengah ingat utama perlu china pakdhe merah pajak investor terus jadi kasih nusantara buat masyarakat pakai bangun kalau ikn semua cari,Negatif
luar biasa keren,Positif
rahasia istana terlalu negara bangun baik,Negatif
parlemen gedung tempat iya,Netral
oposisi kaya program satu jokowi pimpin lanjut sby kan jalan,Netral
lunas betul rakyat,Negatif
alhamdulillah semangat indonesia,Positif
jilid hambalang lihat jadi,Negatif
saja unit mata per juta biaya rumah menteri gedung tutup bedeng tok iya bangun,Negatif
situ daftar mau kerja bang dong nya,Netral
rs takutnangis tunduk al propokasi awam miris kubur tolol cuci fakta otak nain kantor jelata bikin si lihat jadi polos hasil korban bahkan,Negatif
singapore kata,Netral
ver hambalang moga,Positif
tertib bersih alhamdulillah tata mulai sehat kumuh kerja indonesia maju semua lebih,Positif
padahal rasa komentar bod paling cerdas memang tol,Negatif
swasta bro meikarta,Netral
lahan benar baru ibukota bangun,Positif
kasihan rusak jadi hutan ikn,Negatif
oper dki duduk tepat atas ini cara ibu kota biar bangun kalimantan ikn,Positif
repot masalah usah hutang urus,Netral
china mirip bangun,Negatif
kalau lanjut mangkrak jangan,Positif
ikat dki stop meski contoh hati baswedan anies dpr presiden ikn,Negatif
pulau negara mantap kalimantan,Netral
jiwa bos kerja bapak mantap lancar moga jalan,Positif
bravo nkri nusantara ikn,Positif
,Negatif
paruparu kwkwkw dunia,Negatif
enak suatu selesai kalau proyek,Negatif
surya atap sel guna tutup bangun moga tiap,Positif
fokus titik pulau rata jawa sejahtera ada satu bangun makin moga ikn,Positif
semanggi traficlight polutions seftpower angin turbin usul full jembatan listrik atap no solar jadi semua,Positif
titik mula hancur hutan kalimantan,Negatif
lain pura vihara masjid gedung gereja,Negatif
malah susah hidup mana rakyat ibu kota hutang pindah nya,Negatif
alhamdulillah selamat lancar moga,Positif
adab bangsa baru indonesia bangun,Positif
impi tetap wujud tuju satu moga ikn semua,Positif
nusantara nya ikn kan,Netral
lambat iya,Negatif
hijau hancur hutan kalimantan,Negatif
rasa jawa sulit tuju orang presiden memang apa,Negatif
seperti mudah tanah,Negatif
praktek teori mardigu nol video si lihat bacot,Negatif
perata capai jadi bangun cepat moga ikn,Positif
ungsi cocok panuroto yaman diri tau komentar memang,Negatif
nanya dana hutang,Netral
kelenteng simak pura vihara sumber rumah perintah jelas satu bangun ibadah gereja ikn,Netral
mobil sepeda seflpiwet solarcell pangan angin turbin listrik sekitar an minim buah polusi siap mungkin kota ikn lah,Positif
modal lah,Negatif
gesa jikalau maaf bengkak belum prioritas rata video butuh pribadi kuasa justru mohon peduli aneh banyak lihat jadi bayar sangat tanah hutang beli boros sama pimpin indonesia orang bangun makin kok,Negatif
kuat keluarga usaha bukan jadi sana lama buat rencana kerja baru,Netral
jadi jakarta kampung,Netral
mesjid bikin mau buat kalau agama semua,Negatif
ngutangtapi wah enak rumah perintah tambah pajak rakyat terus bayar hasil hutang bagus iya bangun nya,Negatif
derita rakyat ikn,Negatif
kaya hambalang ganti lanjut presiden mangkrak,Negatif
keluh derita punya jelas depan kerja orang iya maju nya lah,Negatif
pranowo mati khawatir an ganjar henti bukan terus jadi langsung percaya buat jokowi bangun kalau presiden ikn proyek,Netral
rabbal proses kah segala mudah allah libat aamiin iya bangun urus lancar ikn,Positif
abal peras rakyat proyek,Negatif
asli mas mana,Netral
nusa bangsa percaya aamiin jokowi bapak,Positif
pindah meikarta,Negatif
wkwk,Negatif
wihara disiapin pura masjid misal tempat ibadah agama gereja apa kok bagaimana,Negatif
pura vihara lokasi mesjid sayang kata iya gereja kok,Negatif
sebentar pahit jawa pusat siap si jokowi ikn minta,Negatif
kondisi sulit paksa lalu kata siapa ikn,Negatif
bapak lanjut,Positif
koruptor enak calon iya,Negatif
sarumpaet ratna oplas sarkas yogi bengkak otak mampu sok kadrun,Netral
pegang korupsi biar proyek bagaimana,Netral
negeri tempat bangun kalau ibadah agama,Positif
bebas beban korupsi negara uang bangun moga ikn,Positif
iya bapak gereja,Netral
paling investor mangkrak,Negatif
olahraga saran sarana bapak,Positif
bara misi batu bang,Netral
pindah cepat kalau,Positif
maksimal juta duduk khusus malah atur justru perintah tinggal banyak sana batas buat pindah kalau ikn,Netral
paru tempat dunia bangun nya ikn,Negatif
angel bangkrut begini negara kalau,Negatif
wakanda,Netral
alhamdulillah gundul mulai hutan kalimantan,Negatif
malah program henti bukan jadi jokowi bapak moga presiden,Positif
dua yakin wkwk hambalang jadi,Negatif
ken tinggal sana iya kok,Netral
rusak lingkung kalimantan,Negatif
original pinus kontraktor sejak isi sini daerah mayoritas tahu mending tanya wilayah monas awal pohon bukan industri ku kayu banyak jadi hutan tempat kasih buat orang kalau nya ikn memang,Netral
so benci hambat sekarang siap henti perintah baswedan anies percaya pilih satu lanjut presiden ikn semua,Positif
sebarkaan ri baswedan anies jadi kasih terima tahun iya bapak lanjut presiden,Netral
sangat iya cepat,Netral
stekholder senantiasa beri allah libat sehat aamiin bangun moga ikn,Positif
serang antisipasi bunker darurat militer istana jajah siap dalam asing jalur indonesia kalau kalimantan presiden baik,Netral
tengah jauh henti korupsi moga jalan,Positif
lindung swt allah aamiin kerja moga ikn semua proyek,Positif
kebut buru siap selesai deh iya bapak kalau ganti,Netral
ngeri sekali jahat bangun gereja,Negatif
sabar dengar nkri resmi pindah ibukota kalimantan umum,Positif
datang penting jadi tahun baru iya,Netral
angin masa doang pakai kerja bapak dong,Negatif
jaya nusantara indonesia,Positif
mahal makan jangan,Negatif
fix hebat tahun depan indonesia moga ikn,Positif
lihat jadi apa,Negatif
cita moga,Positif
sentuh proyeksi pdb sekitar sekarang moga,Netral
lancar,Positif
pulau jawa daerah lupa tinggal bangun jangan,Positif
usia struktur roboh antisipasi antar jembatan pulau akses usaha perang satu semua jangan,Positif
paku sabar sini segera laku istana batu semangat pertama salam perintah warga terus buat harap kerja indonesia maju presiden ikn,Positif
hantu huni,Negatif
ngotot seh urgensi ekonomi buat proyek kok banding,Negatif
putrajaya sejak punya an bikin malaysia mungkin tahun uang indonesia bangun kalau ikn dulu,Negatif
waduk ikat pohon misal tanam harus air,Positif
cipta pns turut khusus daerah pemuda ekonomi bantu calon harap baru ibukota indonesia bangun lanjut,Positif
angin publik dana ayo berapa habis dong,Netral
rupa dipake btw gusur lumayan area bukti utama rumah bumi paru sendiri industri peduli terus hutan buat sama bangun coba kalau kalimantan memang,Netral
emas pulau publik jawa hilang anak kata cepat moga,Netral
bukan sangat dukung jokowi lancar moga ikn jalan,Positif
hindar takbisa lahan tebang pohon pusat buka hutan apa,Negatif
perata jawa tengah seluruh sejahtera sangat dukung indonesia orang bangun ikn,Positif
perata sulit yakin adil ekonomi rakyat wujud ikn lebih,Positif
versi hambalang jokowi,Negatif
didik,Netral
cucu anak bilang moga,Netral
apa paham sih,Negatif
bang,Netral
olokolokan otomatis se pilpres visi hambalang bahan jadi negara ikut pilih tahun laksana jokowi bangun ganti presiden ikn,Negatif
terkafer selesai perintah bangun moga,Positif
,Netral
entah gebu mobil alat mati berita esemka terlalu mirip hidup jadi politik kota nasional proyek,Negatif
unhas rektor mati timur berita sebut kait harga indonesia ikn,Positif
jangka dijakarta sumur tinggi panjang penting gedung banyak amblas tanah biar depan iya jangan,Positif
insyaa ri allah baswedan anies bapak presiden,Netral
paser suku mudah jadi benar kalau presiden ikn,Netral
masing rubah masalah punya cara antitesis undang choiri tuju dukung jokowi bijak pimpin,Negatif
tiongkok isi imigran indonesia,Negatif
syariah haji dana masuk,Netral
cinta indonesia selamat kalimantan lancar moga semua,Positif
bersih atur cara biasa jadi tetap biar huni orang iya coba kalau semua bagaimana,Negatif
sekolah bapak,Netral
nkri masa jaya tuju jokowi,Positif
rif hutan kalimantan,Negatif
akal sumbang apaapa positif ber cinta santun kalian keluarga ayo bila nkri doa nyinyir yra salam bantu ter negara air buat tanah aamiin bangun kalau apa baik,Positif
pinggang engkau so tetangga mati punya kaya malu anak sayang bayar hutang sama siapa bangga iya kalau memang,Netral
salut next sekarang hambalang perintah pilih walaupun iya bangun moga presiden proyek,Positif
catat wakid no kualitas awal selesai korupsi nama sukses kerja bangun moga semua jangan,Positif
mu kabupaten sertifikasi tukang kantor daftar ikn,Netral
tau wkwk hidup bedeng kerja suka lebih,Netral
sip,Positif
kerah semua baik kan,Positif
arti demo istana mau kalau,Netral
kafir sering batak phobia sumatra hina ras malah kau jawa kata apa bahkan,Negatif
kocak lihat,Netral
proses bangun lancar moga,Positif
diri serakah ramai tau lupa jajah datang pribumi ibu tanah kota pindah orang makin bahkan,Negatif
perhati rusak bangun ikn jalan lah,Negatif
normal lahir terang titik dengar bawah bayar harga tanah bapak moga presiden tol,Netral
damai salam terus negara bangga indonesia orang maju moga,Positif
rusun kerja orang bangun bapak,Negatif
papua ikn,Negatif
serta nusantarapa terwujudsemoga peran lain suap top mata juang putus sungguh bersih ri jauh luar biasa ambil tetep berani rakyat korupsi rencana jokowi pimpin bangun bapak kalau ikn hari,Positif
sia,Negatif
senyum xijinping squad puan lancar moga,Positif
ukraina resesi hemat situasi kembang ancam gila tekan anggar rusia perang ekonomi jadi tadi harus pikir dunia mungkin sangat benar indonesia makin bahkan,Negatif
nyiyiran peduli jaya kadrun lancar moga jangan,Positif
fungsi ridho alhamdulillah karyawan seluruh kait aman sukses kerja selamat lancar moga ikn semua,Positif
sasar tepat dana korupsi biar jangan,Positif
yarbal alamin selesai aamiin cepat lancar moga ikn,Positif
mesjid gedung doang gereja kok,Negatif
republik kuat kembang mampu besar jadi negara satu sama indonesia bangun maju,Positif
engkau patah tuhan progres kendala nusantara aamiin kerja iya nya lancar ikn apa lah,Positif
juang selamat mantap,Positif
sektor sempat daya perata bravo capai luas tingkat segala tambah rakyat buka akhir hasil masyarakat harap beli kerja indonesia bangun maju ikn semua lebih,Positif
indah desain sendiri jadi nusantara jakarta ibukota moga lebih,Positif
apbn,Netral
barak tiongkok wna kasus investor sama kerja indonesia bangun jangan,Negatif
kabur investor iya kok,Negatif
kenang selalu karya jokowi,Netral
anak sendiri bangsa buat ibu rencana kota,Netral
wewenang punya kaya ingat jabat buat bangun meikarta jangan,Positif
rumah satu kerja bangun ibadah agama,Negatif
nyusahin tambah bangsa negara hutang proyek,Negatif
nkri maju lancar moga jalan,Positif
kecil rakyat sana kerja moga,Positif
jokowi bapak mantap lanjut jangan,Positif
roda tegah subsidi ramai ekonomi bawah masyarakat kota huni baru bangun moga,Positif
awo,Netral
server woi beda,Netral
raut awat tiang murah gampang khusus meski mahal listrik biaya rendah resiko kabel susah tinggi banyak jalur sangat tanah pakai kalau memang lebih baik,Positif
parit york tiru awat hujan murah sungai datar rata bebas luas kendali utama banjir cara wilayah awal mudah air buat tanah rencana kota bangun ikn lebih baik jalan,Positif
bener per akibat turun nah level gila guna air tahun tanah jakarta,Netral
istana nasib bagaimana,Netral
luar megah biasa ibu kota baru indonesia,Positif
wauu indah ibu kota indonesia makin nya,Positif
kapan sekarang bayar hutang bagus nya,Positif
wibawa job good semangat terus buat indonesia maju lebih,Positif
nyata semangat tetap nama kerja baru mantap lancar moga,Positif
goblog hoax sumatra protes capres sebar cundang golong umur menang butuh makan sakit senang sekarang nikmat hati drun hidup kalah jadi kadrun kata dukung semua suka memang kok tol dulu,Negatif
sejarah indonesia bangun,Netral
komentar semua,Netral
tak paranpekerja pernah ikan lupa sehat nyaman kerja selamat moga kan,Positif
tunggal pura vihara masjid bro negara doang bangun dong gereja jangan,Negatif
muda terampil saing pintar luar sekarang kaltim anak keras benar kerja orang makin,Positif
job good program jokowi indonesia bapak baik,Positif
allah wujud indonesia iya selamat ikn,Positif
yasalam jokowidodo job good mata mati nkri jaya terus harga dunia maju bapak presiden,Positif
hindar koruptor rakyat bangun,Negatif
duit masalah asal korupsi jabat ikut iya proyek jangan,Positif
tambang kebun rasyid al jalar sawit luas kemudian sakit kanker sel mulai kecil satu ikn,Negatif
tiongkok warga dukung pindah kalimantan lancar ikn,Positif
kontraktor sebentar anggap atur perlu ubah anggar perintah si beban bayar moga ikn,Negatif
pam betah sumber lumayan kelak sulit macet siap air aamiin iya maju makin kalau mantap moga ikn,Positif
khawatir mau sangat iya bangun kalau lanjut presiden semua bagaimana,Netral
freeport mirip,Netral
berkah sukses indonesia bangun maju lancar moga,Positif
efek peduli awas korupsi ikut uang biar siapa indonesia orang moga lanjut ikn semua,Positif
rupa provinsi kembang langkah capai suatu awal cerdas pusat seluruh sejahtera makmur hidup bangsa negara tempat sukses ibu masyarakat kota satu baru indonesia bangun lancar moga ikn jalan,Positif
antisipasi bikin undang,Positif
pesimis optimis tetap jangan,Negatif
indonesia mantap,Positif
kuli jadi mau sana mantap lah,Positif
pegawai bidang etis lumayan kuli sebut lahan panjang anggur buat kerja bangun jangan lebih,Netral
oksigen rindang entah sumber lebat kau kalian pohon esok hidup hasil kasih terima lama hari,Negatif
nilai serah berkat najam pokok lipat kali investasi manfaat jual utama besar sekarang tingkat deh rakyat warga banyak harga inti tanah dukung iya bangun kalimantan bahkan banding lebih,Positif
wna anak libat negeri kerja moga,Positif
ngurangin miris padahal pulau malah jawa cara luar sekali gundul loker bukan populasi buka lihat jadi hutan ibu kota pindah sama mah bangga kalau,Negatif
perkembanganya pantau semangat rakyat terus lihat biar indonesia mantap ikn,Positif
jerit derita akibat malah oligarki pajak rakyat bangun proyek,Negatif
lewat kuasa china negara akhir hasil buat ibu kota indonesia kalimantan,Negatif
selesai bangun lancar moga,Positif
panas pohon bangun apa kok,Negatif
aamiin indonesia maju makin moga,Positif
titik besar awal rakyat jadi bangga indonesia moga ikn,Positif
gundul hutan makin,Negatif
sumatera belitung pulau jauh sama kalimantan,Netral
cinta betawi jakarta dukung pindah ibukota orang,Positif
asyik lumayan juta alat harga buat beli,Negatif
terlalu datang beban banyak jakarta iya lebih,Netral
bidang turut bagai rata mudah nusantara ibu masyarakat kota dukung indonesia bangun moga,Positif
